alcohol,strength
36.2,1000
39.7,1000
39.5,1080
18.2,1220
29.2,1310
32.5,1400
13.2,1550
14.8,1550
28.6,1520
30.8,1520
34.5,1520
39.7,1550
28.3,1620
34.5,1620
40.3,1620
19.1,1790
27.7,1820
40.8,1820
17.7,1910
22.8,1880
28.3,1930
4,2090
5.2,2090
11.7,2090
12.5,2090
13.7,2090
15.7,2090
17.4,2090
18.9,2110
20,2110
32.3,2120
3.5,2230
9.8,2210
14,2180
18.3,2220
19.7,2220
29.8,2330
9.7,2390
11.1,2400
32.9,2410
10.8,2510
14,2510
17.5,2510
12.6,2620
22.6,2630
5.2,2820
9.4,2820
13.5,2840
19.1,2820
7.4,2950